text,label
"I loved this movie, it was amazing and uplifting",positive
"Absolutely fantastic experience and great acting",positive
"This was a wonderful film with a heartwarming story",positive
"Brilliant plot and excellent direction",positive
"I enjoyed every minute of it",positive
"Terrible movie, I hated it",negative
"Worst film I have ever seen",negative
"It was boring and too long",negative
"Awful acting and a weak script",negative
"I regret watching this",negative
"Not bad, but not great either",neutral
"It was okay, nothing special",neutral
"Average film with some good moments",neutral
"Mediocre overall",neutral
"Fine for a lazy afternoon",neutral
